qi_set,strategy,k,qi_columns,rows_removed,generalization_levels,auxiliary_size,unique_matches,ambiguous_matches,no_matches,unique_match_rate,ambiguous_match_rate,no_match_rate,retained_rows,retention_rate,suppression_rate,income_distribution_shift,hours_mean_abs_diff,hours_variance_abs_diff,income_gap_by_sex
set_a,generalization_first,2,"age,sex,education,marital_status",0,"age:4,sex:1,education:2,marital_status:0",6512,0,6512,0,0.0,1.0,0.0,32561,1.0,0.0,0.0,0.0,0.0,1.0
set_a,generalization_first,5,"age,sex,education,marital_status",0,"age:4,sex:1,education:3,marital_status:0",6512,0,6512,0,0.0,1.0,0.0,32561,1.0,0.0,0.0,0.0,0.0,1.0
set_a,generalization_first,10,"age,sex,education,marital_status",0,"age:4,sex:1,education:3,marital_status:0",6512,0,6512,0,0.0,1.0,0.0,32561,1.0,0.0,0.0,0.0,0.0,1.0
set_a,targeted_suppression,2,"age,sex,education,marital_status",1724,"age:0,sex:0,education:0,marital_status:0",6512,0,6176,336,0.0,0.9484029484029484,0.051597051597051594,30837,0.9470532231811062,0.052946776818893815,0.005290906282613278,0.18034095044940557,3.0583155487429963,0.0037501487868489627
set_a,targeted_suppression,5,"age,sex,education,marital_status",5268,"age:0,sex:0,education:0,marital_status:0",6512,0,5424,1088,0.0,0.8329238329238329,0.16707616707616707,27293,0.8382113571450508,0.1617886428549492,0.01420088479191206,0.33728492393016296,5.83203087446887,0.014644413684132558
set_a,targeted_suppression,10,"age,sex,education,marital_status",9198,"age:0,sex:0,education:0,marital_status:0",6512,0,4624,1888,0.0,0.7100737100737101,0.28992628992628994,23363,0.7175148183409601,0.2824851816590399,0.021014694576404258,0.328541665349114,4.934822957831244,0.02924720123507757
set_b,generalization_first,2,"age,sex,occupation,native_country",0,"age:4,sex:1,occupation:0,native_country:3",6512,0,6512,0,0.0,1.0,0.0,32561,1.0,0.0,0.0,0.0,0.0,1.0
set_b,generalization_first,5,"age,sex,occupation,native_country",0,"age:4,sex:1,occupation:0,native_country:3",6512,0,6512,0,0.0,1.0,0.0,32561,1.0,0.0,0.0,0.0,0.0,1.0
set_b,generalization_first,10,"age,sex,occupation,native_country",0,"age:4,sex:1,occupation:2,native_country:3",6512,0,6512,0,0.0,1.0,0.0,32561,1.0,0.0,0.0,0.0,0.0,1.0
set_b,targeted_suppression,2,"age,sex,occupation,native_country",2526,"age:0,sex:0,occupation:0,native_country:0",6512,0,6020,492,0.0,0.9244471744471745,0.07555282555282555,30035,0.9224225300205767,0.07757746997942327,0.0036052918964094294,0.09771977634049733,0.6631108209622596,0.0020348707311060865
set_b,targeted_suppression,5,"age,sex,occupation,native_country",4270,"age:0,sex:0,occupation:0,native_country:0",6512,0,5693,819,0.0,0.8742321867321867,0.12576781326781328,28291,0.8688615214520439,0.13113847854795613,0.008810463055195089,0.2922108263559835,2.0753085620562217,0.005496247444386544
set_b,targeted_suppression,10,"age,sex,occupation,native_country",6102,"age:0,sex:0,occupation:0,native_country:0",6512,0,5334,1178,0.0,0.8191031941031941,0.1808968058968059,26459,0.8125978931850988,0.18740210681490121,0.015473748801377252,0.6080485131513456,6.883924646635023,0.009748770186105725
